time_utc,CallSign,ShipName,Type,ImoNumber,MMSI,latitude,longitude,Destination,FixType,Dimension A,Dimension B,Dimension C,Dimension D,MaximumStaticDraught,MessageID
2023-12-09 08:05:51.944186364 +0000 UTC,IBRV,SEMINOLE,90,7645550,247274900,34.66968333333333,33.05835,CYLMS,1,28,107,15,15,4.5,5
2023-12-09 08:05:54.203014122 +0000 UTC,5BLV2,EDT ZENON,52,9315977,212541000,34.645403333333334,33.009685000000005,LIMASSOL,1,7,21,2,7,2.4,5
2023-12-09 08:05:57.546130448 +0000 UTC,TCA5645,KOSOVAK,71,9211157,271047045,35.82620333333333,29.005121666666664,TRALI,1,138,20,20,4,10,5
2023-12-09 08:06:05.451479994 +0000 UTC,5BFB3,EDT LEON,91,9575400,209343000,34.64512666666667,33.00899833333333,LIMASSOL,0,18,32,5,5,2.4,5
2023-12-09 08:06:08.806450979 +0000 UTC,GDSA,NAVAL AUXILIARY A135,34,7822550,233303000,34.65244666666667,33.016776666666665,,1,21,154,24,6,0,5
2023-12-09 08:06:11.674087589 +0000 UTC,PILOTB2,PILOT B 2,50,0,428009070,31.830750000000002,34.641645000000004,ASHDOD,1,12,4,2,3,2,5
2023-12-09 08:06:15.664263638 +0000 UTC,3E5051,BEOL,37,1010375,352002749,34.645815,33.007605,LIMASSOL,1,29,31,6,4,3.5,5
2023-12-09 08:06:15.849507463 +0000 UTC,V7JU2,MILA,70,9316220,538002973,31.82655,34.6417,IL ASH,1,162,28,20,12,12.9,5
2023-12-09 08:06:24.33875788 +0000 UTC,5BKE4,OLVIA,80,9523469,212717000,31.845565,34.61778666666667,ASHDOD,15,73,27,15,3,6.6,5
2023-12-09 08:06:24.562127232 +0000 UTC,9HA5679,EXINITY,37,0,256081000,34.66532666666667,33.041781666666665,LIMASSOL MARINA,15,10,30,6,3,2.1,5
2023-12-09 08:06:25.654883818 +0000 UTC,9HA4821,SEVANNA,37,0,248823000,34.665240000000004,33.041335,LIMASSOL CYPRUS,1,26,16,2,6,2.5,5
2023-12-09 08:06:33.195002606 +0000 UTC,5LKX6,ATLAS STAR,89,9376828,636022888,31.847730000000002,34.58184166666667,ALEXANDRIA FOR ORDER,1,156,27,21,6,7.5,5
2023-12-09 08:06:36.96825 +0000 UTC,P3ES7,EDT ARGONAUT,52,7810131,212230000,34.64501833333334,33.009881666666665,LIMASSOL,1,9,33,6,3,3.7,5
2023-12-09 08:06:39.577219496 +0000 UTC,5BEC5,AKRITAS,70,8020599,209511000,36.23352,29.045566666666666,GRLAV,15,0,0,0,0,7,5
2023-12-09 08:06:52.574696823 +0000 UTC,5LFF6,KRITI CAPTAIN,80,9335147,636021691,34.687865,33.3473,CY VAS FOR ORDER,1,150,34,12,15,10.2,5
2023-12-09 08:07:05.30000478 +0000 UTC,D5TK5,CHEM LITHIUM,80,9815252,636019201,27.490166666666667,34.952999999999996,FOR ORDERS,1,130,17,12,12,7.9,5
2023-12-09 08:07:14.886702526 +0000 UTC,5BHA4,LEDRA PRIDE,52,8028503,210588000,34.64510833333333,33.017801666666664,CYLIM,1,10,32,3,7,5.5,5
